
활성 연결

  프로토콜  로컬 주소              외부 주소              상태            PID
  TCP    [::1]:3306             [::1]:58591            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58592            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58593            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58594            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58595            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58596            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58597            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58598            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58599            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58600            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58601            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58602            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58603            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58604            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58605            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58606            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58608            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58609            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58612            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58613            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58615            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58616            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58618            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58619            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58620            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58621            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58622            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58623            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58624            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58625            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58627            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58628            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58629            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58631            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58632            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58633            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58634            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58635            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58636            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58637            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58638            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58639            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58640            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58641            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58642            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58643            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58646            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58647            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58649            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58650            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58652            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58653            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58654            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58656            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58658            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58659            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58660            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58662            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58663            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58664            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58665            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58666            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58667            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58670            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58671            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58672            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58673            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58674            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58675            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58676            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58678            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58679            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58680            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58681            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58682            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58683            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58684            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58685            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58687            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58688            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58689            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58690            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58695            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58705            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58714            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58716            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58717            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58718            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58719            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58720            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58721            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58722            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58723            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58724            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58725            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58726            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58727            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58728            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58729            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58730            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58731            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58732            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58733            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58734            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58735            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58736            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58738            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58741            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58742            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58743            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58744            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58745            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58746            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58747            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58748            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58749            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58750            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58753            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58755            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58757            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58758            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58759            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58760            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58762            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58763            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58764            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58765            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58766            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58767            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58768            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58769            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58770            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58771            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58772            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58773            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58774            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58775            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58776            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58777            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58778            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58779            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58780            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58781            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58782            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58783            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58784            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58785            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58786            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58787            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58788            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58789            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58790            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58791            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58792            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58793            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58794            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58795            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58796            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58797            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58798            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58799            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58800            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58801            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58803            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58804            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58805            TIME_WAIT       0
  TCP    [::1]:3306             [::1]:58806            TIME_WAIT       0
